"Species","Site","Selected_Iconic_Reef","LON_M","LAT_M","Id","IF_5km","Rank_5km","IF_10km","Rank_10km","IF_15km","Rank_15km"
"Lutjanus griseus","Looe","Yes",158763.6915,23562.1383999996,21144,480622600871.121,14,6372906878508.65,10,20556280589212.3,8
"Lutjanus griseus","New Found Harbor","Yes",160213.9312,31225.5774000008,20483,31296524230447.4,1,49865211798654.6,1,59296126899626.3,3
"Lutjanus griseus","Sombrero","Yes",188822.7902,32400.1227000002,20618,5737537932126.21,2,42839357150839.7,2,75563584733647.8,1
"Lutjanus griseus","Cheeca Rocks","Yes",238841.8309,63275.4762999993,13196,1007317247008.18,9,1862007549444.42,15,2244386123330.14,15
"Lutjanus griseus","Horseshoe","Yes",271105.3153,89440.8651000001,9475,1827960856735.73,7,14136469515970.1,7,25799450746383.9,7
"Lutjanus griseus","Turtle Rocks","No",279746.024,104591.5701,8137,3660658966035.01,5,29327164108718.4,4,52158869595758.3,4
"Lutjanus griseus","South of Key Colony Beach Marker 48","No",197008.805,39486.5342999995,18555,918302716841.126,10,2179613835701.12,14,2787713464571.84,14
"Lutjanus griseus","Coffins Patch Sanctuary Preservation Area","No",203375.9407,38957.1265999991,18722,729941102973.058,12,6777046099586.86,9,12110843243646.3,10
"Lutjanus griseus","Davis Reef Sanctuary Preservation Area","No",250009.4114,65376.9846000001,12871,746353866462.15,11,5566092639354.01,11,9443631818859.97,11
"Lutjanus griseus","French Reef Sanctuary Preservation Area","No",265640.9329,77918.0548,10702,5536478690775.66,3,37010273684040.7,3,68923539932857.2,2
"Lutjanus griseus","Hen and Chickens Sanctuary Preservation Area","No",245602.8235,66755.2842999995,12804,2124301371030.05,6,4506191767782.98,12,5616837632794.98,12
"Lutjanus griseus","Key Largo Dry Rocks Sanctuary Preservation Area","No",270783.262,87716.6155999992,9500,272506375697.904,15,2444757614749.63,13,4684033966713.08,13
"Lutjanus griseus","Molasses Reef Sanctuary Preservation Area","No",263183.5269,75378.8890000004,11161,3918461715009.42,4,26628032721183.8,5,50019261662645.6,5
"Lutjanus griseus","Tennessee Reef Research Only Area","No",224877.071,47919.8493000008,15979,626717859062.003,13,7444322658201.63,8,14019399658764.6,9
"Lutjanus griseus","The Elbow Sanctuary Preservation Area","No",274542.0115,89963.7216999996,9431,1773965754593.71,8,16683416973918.4,6,34618156155786.1,6
"Haemulon sciurus","Looe","Yes",158763.6915,23562.1383999996,27140,15896623227323,7,73685968732598.3,7,122071688567141,7
"Haemulon sciurus","New Found Harbor","Yes",160213.9312,31225.5774000008,27229,8796898023256782,1,11933308326978724,1,13693425921361758,1
"Haemulon sciurus","Sombrero","Yes",188822.7902,32400.1227000002,25904,47898656237150,4,164395867639521,3,236780994851140,4
"Haemulon sciurus","Cheeca Rocks","Yes",238841.8309,63275.4762999993,13535,69300169599022.8,2,130991889557488,4,161870068571582,6
"Haemulon sciurus","Horseshoe","Yes",271105.3153,89440.8651000001,9295,23481750232162.2,5,122371941907686,5,244364218029425,3
"Haemulon sciurus","Turtle Rocks","No",279746.024,104591.5701,7338,9894135243775.01,9,64440123935256.1,8,118573928568778,8
"Haemulon sciurus","South of Key Colony Beach Marker 48","No",197008.805,39486.5342999995,24237,1264273486945.16,13,2856004169110.26,14,3679869072367.86,14
"Haemulon sciurus","Coffins Patch Sanctuary Preservation Area","No",203375.9407,38957.1265999991,24429,1616496122522.72,12,10557722307684.7,11,17705249154547.8,11
"Haemulon sciurus","Davis Reef Sanctuary Preservation Area","No",250009.4114,65376.9846000001,13218,10696336235092.2,8,42004322196513,9,63278455814244,9
"Haemulon sciurus","French Reef Sanctuary Preservation Area","No",265640.9329,77918.0548,11066,63142854851579.6,3,283564984244619,2,511592106013965,2
"Haemulon sciurus","Hen and Chickens Sanctuary Preservation Area","No",245602.8235,66755.2842999995,13262,2474147235223.06,11,5730277064109.14,12,7445787259801.01,12
"Haemulon sciurus","Key Largo Dry Rocks Sanctuary Preservation Area","No",270783.262,87716.6155999992,9064,536081288237.137,14,3127954401421.94,13,6420472897465.49,13
"Haemulon sciurus","Molasses Reef Sanctuary Preservation Area","No",263183.5269,75378.8890000004,11066,63142854851579.6,3,283564984244619,2,511592106013965,2
"Haemulon sciurus","Tennessee Reef Research Only Area","No",224877.071,47919.8493000008,19368,5070046036470.15,10,29712070071294.5,10,48623759457803.1,10
"Haemulon sciurus","The Elbow Sanctuary Preservation Area","No",274542.0115,89963.7216999996,8814,19403846605278.3,6,89153996184480,6,165624004734896,5
